year,白俄罗斯,加拿大,中国,法国,德国,意大利,日本,英国,美国
2003,0.24,0.37,0.33,0.34,0.4,0.38,0.42,0.3,0.34
2004,0.24,0.36,0.33,0.34,0.38,0.37,0.42,0.3,0.34
2005,0.24,0.36,0.33,0.34,0.38,0.37,0.41,0.3,0.4
2006,0.24,0.36,0.33,0.33,0.38,0.37,0.41,0.3,0.4
2007,0.24,0.36,0.33,0.33,0.38,0.37,0.41,0.3,0.4
2008,0.24,0.34,0.25,0.33,0.3,0.31,0.41,0.3,0.4
2009,0.24,0.33,0.25,0.33,0.29,0.31,0.41,0.28,0.4
2010,0.24,0.31,0.25,0.33,0.29,0.31,0.41,0.28,0.4
2011,0.24,0.28,0.25,0.33,0.29,0.31,0.41,0.26,0.4
2012,0.18,0.26,0.25,0.33,0.29,0.31,0.38,0.24,0.4
2013,0.18,0.26,0.25,0.33,0.3,0.31,0.38,0.23,0.4
2014,0.18,0.27,0.25,0.33,0.3,0.31,0.36,0.21,0.4
2015,0.18,0.27,0.25,0.33,0.3,0.31,0.34,0.2,0.4
2016,0.18,0.27,0.25,0.33,0.3,0.31,0.31,0.2,0.4
2017,0.18,0.27,0.25,0.33,0.3,0.24,0.31,0.19,0.24
2018,0.18,0.265,0.25,0.33,0.3,0.24,0.3086,0.19,0.27
